id,target_revenue,reward_text,reward_icon,is_active,unlocked_at,claimed_at,created_at
1,1000.0,Nice dinner out,dinner,1,,,2025-12-18 13:15:06.083852
2,2500.0,Photography or creative gear upgrade,camera,1,,,2025-12-18 13:15:06.085306
3,5000.0,Weekend city escape (NZ or Australia),cityscape,1,,,2025-12-18 13:15:06.085962
4,10000.0,Statement watch with personality,watch,1,,,2025-12-18 13:15:06.086537
5,15000.0,Automotive upgrade fund,car,1,,,2025-12-18 13:15:06.087085
6,25000.0,International travel with intent,plane,1,,,2025-12-18 13:15:06.087624
7,50000.0,High-horology or serious watch move,watch,1,,,2025-12-18 13:15:06.088149
8,75000.0,Second car or serious car upgrade fund,car,1,,,2025-12-18 13:15:06.088653
9,100000.0,Freedom buffer,star,1,,,2025-12-18 13:15:06.089141
10,150000.0,Serious investment allocation,chart,1,,,2025-12-18 13:15:06.089671
11,200000.0,"Fly somewhere purely to eat at one specific restaurant, then leave",dinner,1,,,2025-12-18 13:15:06.090158
12,250000.0,Lifestyle leverage fund,crown,1,,,2025-12-18 13:15:06.090639
13,300000.0,McLaren MP4-12C Spider,racecar,1,,,2025-12-18 13:15:06.091079
14,40000.0,Home studio or workspace upgrade,home,1,,,2025-12-18 14:20:08.413743
15,90000.0,Solo international trip with zero compromises,rocket,1,,,2025-12-18 14:21:00.470080
16,125000.0,Buy time back fund,hourglass,1,,,2025-12-18 14:21:42.258415
